FILE,MD,IA,STATE,COUNTY,NAME,TOTPOP,HORSEMU,CATTLE,SHEEP,SWINE,POULTVAL,WHEAT,BARLEY,OATS,RYE,BUCKWHEA,CORN,WOOL,HOPS,BEESWAX,IRPOTATO,SWPOTATO,POTATO,HAY,HEMP,FLAX,TOBACCO,RICE,COTTON,SILK,MAPLESUG,CANSUG,SUGAR,WOOD,WINE,DAIRY,ORCHARD,HOMEMFG,MKTGARD,NURSVAL,CIDER,WHEATP,BARLEYP,OATSP,RYEP,BKWHEATP,CORNP,WOOLP,HOPSP,WAXP,IRPOTP,SWPOTP,HAYP,HEMPP,FLAXP,TOBACCOP,RICEP,COTTONP,SILKP,MAPSUGP,CANESUGP,WOODP,WINEP,WHEATO,BARLEYO,OATSO,RYEO,BKWHTO,CORNO,WOOLO,HOPSO,WAXO,IRPOTO,SWPOTO,HAYO,HEMPO,FLAXO,TOBACO,RICEO,COTTONO,SILKO,MAPLSUGO,CANESUGO,WOODO,WINEO,CROPO,ORCHMKTO,DAIRYMFO,NURSERYO,TOTAGOUT,LEVEL,FIPS,REGION1,REGION2
ag840co.dta,"The Johns Hopkins University Press, 1993).",Iowa,ICPSR state code,ICPSR county code,Name of State/County,"Total population, 1840",Horses & mules,Cattle,Sheep,Pigs,Value of poultry,Wheat (bu.),Barley (bu.),Oats (bu.),Rye (bu.),Buckwheat (bu.),Indian corn (bu.),Wool (lbs.),Hops (lbs.),Beeswax (lbs.),Irish potatoes (bu.),Sweet potatoes (bu.),POTATO,Hay (tons),Hemp (tons),Hemp & flax output combined,Tobacco (lbs.),Rice (lbs.),Cotton (lbs.),Silk cocoons (lbs.),Maple sugar made (lbs.),Cane sugar made (lbs.),SUGAR,Cords of wood sold,Wine (gals.),Value of dairy products,Value of orchard products,Value of home manufactures,Value of market gardens,Value of nursery products,CIDER,Wheat price,Barley price,Oats price,Rye price,Buckwheat price,Indian corn price,Wool price,Hops price,Beeswax price,Irish potato price,Sweet potato price,Hay price,Hemp price,Flax price,Tobacco price,Rice price,Cotton price,Silk cocoons price,Maple sugar price,Cane sugar price,Wood price (cord),Wine price,Wheat output value,Barley output value,Oats output value,Rye output value,Buckwheat output value,Indian corn output value,Wool output value,Hops output value,Beeswax output value,Irish potato output value,Sweet potato output value,Hay output value,Hemp output value,Flax output value,Tobacco output value,Rice output value,Cotton output value,Silk cocoon output value,Maple sugar output value,Cane sugar output value,Wood output value,Wine output value,Total crop output value,Value of orchard products,Value of dairy products,Value of nurseries/gardens,Value agricultural output,County=1 State=2 USA=3,State/county FIPS code,U.S. Census Region (9),U.S. Census Region (5)
